エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
加賀エリア	トレインパーク白山	2025/08/10	同意する	日帰り	石川県内には宿泊しない	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	親	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット, お祭りやイベントへの参加・見物, スポーツ観戦や芸術鑑賞（コンサート等）, アウトドア（海水浴、釣り、登山など）, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）, スキー・スノボ・マリンスポーツ, その他スポーツ（ゴルフ、テニスなど）, ドライブ・ツーリング, 友人・親戚を訪ねる, 出張など仕事関係	自家用車, 新幹線	在来線	満足		10,000円以上 20,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	2～5回目	観光展・物産展, 新聞・雑誌・ガイドブック, TV・ラジオ番組やCM, 観光パンフレット・ポスター, 観光連盟やDMOのHP, インターネット・アプリ	ゆのくにの森		月うさぎの里		10,000円以上 20,000円未満	満足	親とケンカしたのもある	とても満足	ドクターイエローが大好きで見に来ました(^o^)	感じなかった		5		石川県在住	美味しいものがいっぱい	女	1990	石川県	金沢市	100万円以上 200万円未満	景品が当たる	満足	10	
加賀エリア	小松空港	2025/08/10	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	お祭りやイベントへの参加・見物	飛行機	在来線	どちらでもない	お盆休みで、新幹線が取れなかった	20,000円以上 30,000円未満	30,000円以上 40,000円未満	50,000円以上 100,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	分からない	選択なし／該当施設なし	分からない	使わない	どちらでもない	分からない	どちらでもない	分からない	感じなかった	分からない	4	分からない	また行きたい（1年以内）	海鮮が美味しい	男	1969	千葉県	柏市	600万円以上 700万円未満	景品が当たる	どちらでもない	8	分からない
加賀エリア	法師旅館	2025/08/11	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂	自家用車	自家用車			20,000円以上 30,000円未満	10,000円以上 20,000円未満	3,000円以上 5,000円未満	初めて	観光連盟やDMOのHP, インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		20,000円以上 30,000円未満	どちらでもない		どちらでもない		感じた	大浴場(脱衣場)に置いてある飲料水が空になっていた。	3		機会があれば行きたい	石川県の特産品など美味しいものを食べたい。	女	1969	福井県	敦賀市	1,000万円以上 1,200万円未満	景品が当たる	満足	6	
加賀エリア	小松空港	2025/08/11	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	名所、旧跡の観光, まちあるき、都市散策	飛行機	路線バス, 徒歩	満足	安全です快適だったので	20,000円以上 30,000円未満	30,000円以上 40,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	車で移動できないから	選択なし／該当施設なし	車がないから	使わない	どちらでもない		どちらでもない		感じなかった		5		機会があれば行きたい	交通系IDが使えると良い	女	1977	北海道	札幌市	900万円以上 1,000万円未満	なんとなく	満足	7	食べ物の魅力
加賀エリア	航空プラザ	2025/08/11	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, ドライブ・ツーリング	自家用車	自家用車			使わない	5,000円以上 10,000円未満	1,000円以上 3,000円未満	2～5回目	Instagram	木場潟公園		選択なし／該当施設なし	しいのき迎賓館	使わない	とても満足		とても満足	無料だったから	感じた	駐車場が狭い	6		また行きたい（1年以内）	子どもが食べれる	男	1978	福井県	福井市	700万円以上 800万円未満	景品が当たる	満足	6	
加賀エリア	トレインパーク白山	2025/08/11	同意する	3泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	福井県	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）	新幹線, 在来線	タクシー, 在来線	どちらでもない	駅にはタクシーがいなかったが配車アプリで10分程度できた	10,000円以上 20,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	トレインパーク	選択なし／該当施設なし		1,000円以上 3,000円未満	満足	子供はよく楽しんでいた、またかがやきソフトは大人も楽しめた。	とても満足		感じた	難病での割引はなかった	6		機会があれば行きたい	海鮮系	男	1988	兵庫県	姫路市	1,200万円以上 1,500万円未満	景品が当たる	満足	8	
加賀エリア	ふれあい昆虫館	2025/08/11	同意する	1泊	1泊	白山エリア （一里野温泉、白峰温泉、白山市など）	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）, 友人・親戚を訪ねる	自家用車	自家用車			5,000円以上 10,000円未満	5,000円以上 10,000円未満	3,000円以上 5,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし	ふれあい昆虫館、トレインパーク白山	選択なし／該当施設なし	一里野温泉スキー場	1,000円未満	満足	昆虫をさわったり間近で見られるので子どもたちが喜んでいます	満足		感じなかった		5		また行きたい（1年以内）	とくになし	女	1981	愛知県	春日井市	900万円以上 1,000万円未満	景品が当たる	満足	10	石川県出身です。見所も美味しいものもたくさんあるので。
加賀エリア	小松空港	2025/08/11	同意する	3泊	石川県内には宿泊しない	石川県内には宿泊しない	福井県	夫婦2人	地元の美味しいものを食べる, まちあるき、都市散策, 友人・親戚を訪ねる	飛行機	在来線	満足		40,000円以上 50,000円未満	30,000円以上 40,000円未満	40,000円以上 50,000円未満	6～10回目	Instagram	選択なし/該当施設なし	金沢駅	選択なし／該当施設なし		1,000円未満	不満	飲食店が少ない	どちらでもない		感じた	保安検査後にコンビニがなく食べ物に困った	7		また行きたい（1年以内）	海鮮を気軽に味わえる店	女	1993	東京都	中央区	1,000万円以上 1,200万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	9	
加賀エリア	法師旅館	2025/08/12	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	親	宿でのんびり過ごす, 温泉や露天風呂	自家用車	自家用車			10,000円以上 20,000円未満	10,000円以上 20,000円未満	3,000円以上 5,000円未満	初めて	TV・ラジオ番組やCM, 観光パンフレット・ポスター	選択なし/該当施設なし		日本自動車博物館		3,000円以上 5,000円未満	どちらでもない		どちらでもない		感じなかった		5		機会があれば行きたい	特になし	男	2001	愛知県	半田市	200万円以上 300万円未満	景品が当たる, ひゃくまんさんが好き, なんとなく	満足	7	
加賀エリア	小松市観光交流センター Komatsu九	2025/08/12	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	友人	名所、旧跡の観光	自家用車	自家用車			10,000円以上 20,000円未満	20,000円以上 30,000円未満	5,000円以上 10,000円未満	初めて	観光パンフレット・ポスター, インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		10,000円以上 20,000円未満	とても満足		とても満足		感じなかった		2		機会があれば行きたい	特になし	男	1979	大阪府	堺市	500万円以上 600万円未満	ひゃくまんさんが好き	とても満足	2	
加賀エリア	道の駅一向一揆の里	2025/08/12	同意する	3泊	2泊	白山エリア （一里野温泉、白峰温泉、白山市など）	富山県	夫婦2人	名所、旧跡の観光	自家用車	自家用車	満足		5,000円以上 10,000円未満	5,000円以上 10,000円未満	5,000円以上 10,000円未満	初めて	観光パンフレット・ポスター	那谷寺		那谷寺		3,000円以上 5,000円未満	満足		満足		感じなかった		6		機会があれば行きたい	特になし	男	1980	群馬県	太田市	200万円以上 300万円未満	ひゃくまんさんが好き	満足	5	
加賀エリア	日本自動車博物館	2025/08/12	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車	とても満足	子供連れなので時間の融通がきくため	20,000円以上 30,000円未満	20,000円以上 30,000円未満	5,000円以上 10,000円未満	初めて	新聞・雑誌・ガイドブック, インターネット・アプリ	選択なし/該当施設なし	松井秀喜記念館	選択なし／該当施設なし		3,000円以上 5,000円未満	とても満足	貴重な車がたくさん見れた	とても満足	子供達も興味を持っていた	感じなかった		5	記念品が買えて良かった（玄関マット）	機会があれば行きたい	海産物も美味しい	女	1975	大阪府	茨木市	700万円以上 800万円未満	景品が当たる	とても満足	8	ここでしか見れないものがある
加賀エリア	航空プラザ	2025/08/12	同意する	4泊以上	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	長野県	夫婦と親子一人	帰省	自家用車	自家用車			30,000円以上 40,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	11回目以上	新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, インターネット・アプリ, X(旧：Twitter), ブログ, 友人・知人, タクシードライバーや地元の人	石川県立航空プラザ		選択なし／該当施設なし	安宅の関	1,000円以上 3,000円未満	満足	義経の話では、昔からずっと興味があったので	満足	カフェの居心地も味も良かった	感じなかった		4	ものがたり館か分かりやすかった	また行きたい（1年以内）	飲食も、お土産も他の地域に比べて非常に充実しており、更に洗練されていると思います。これから、更に人気が出てくるとオーバーツリーズムになって動きづらくなる方が心配です。	女	1964	神奈川県	川崎市	1,000万円以上 1,200万円未満	石川県が好きなので、協力したかった	とても満足	10	皆んな親切。歴史が深いので興味深いものがたくさんある。
加賀エリア	道の駅「こまつ木場潟」	2025/08/12	同意する	1泊	石川県内には宿泊しない	石川県内には宿泊しない	神戸	親	地元の美味しいものを食べる	自家用車	自家用車	とても満足	ご当地ものがあった	20,000円以上 30,000円未満	5,000円以上 10,000円未満	5,000円以上 10,000円未満	初めて	観光パンフレット・ポスター	選択なし/該当施設なし	県外の施設から来た	選択なし／該当施設なし		使わない	どちらでもない		どちらでもない		感じなかった		5		どちらともいえない	特になし	男	1999	愛知県	名古屋市	700万円以上 800万円未満	景品が当たる	とても満足	6	
加賀エリア	小松空港	2025/08/12	同意する	4泊以上	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる, 名所、旧跡の観光	飛行機	在来線	満足	時間に正確だから	50,000円以上 100,000円未満	30,000円以上 40,000円未満	20,000円以上 30,000円未満	初めて	新聞・雑誌・ガイドブック, 観光パンフレット・ポスター	選択なし/該当施設なし	金沢駅	選択なし／該当施設なし	なし	使わない	どちらでもない	無し	どちらでもない	無し	感じなかった	無し	3	無し	機会があれば行きたい	無し	男	1970	神奈川県	横浜市	1,200万円以上 1,500万円未満	景品が当たる	満足	7	食べ物が美味しい
加賀エリア	トレインパーク白山	2025/08/12	同意する	4泊以上	4泊以上	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	中学生以上連れの家族	温泉や露天風呂, 友人・親戚を訪ねる	在来線, 飛行機	在来線, 路線バス	満足	歩くよりも早く到着できた	40,000円以上 50,000円未満	30,000円以上 40,000円未満	50,000円以上 100,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		30,000円以上 40,000円未満	どちらでもない	子供が楽しんでいたから概ね満足ですが、シュミレーターが行った時にはすでに完売だったのでもっと増やして欲しいと思いました	満足	新幹線の秘密が知れたり新幹線が見れたりした	感じなかった	とくになし	6	かがやきソフトは味も美味しくてよかったが子供の口の周りが青くなってしばらく残ってしまったのが残念だった	また行きたい（1年以内）	特になし	女	1979	神奈川県	川崎市	1,000万円以上 1,200万円未満	景品が当たる	どちらでもない	8	
加賀エリア	小松空港	2025/08/13	同意する	4泊以上	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	自分ひとり	友人・親戚を訪ねる	飛行機	自家用車			使わない	1,000円以上 3,000円未満	20,000円以上 30,000円未満	11回目以上	友人・知人	選択なし/該当施設なし		選択なし／該当施設なし		使わない	どちらでもない		どちらでもない		感じなかった		5		機会があれば行きたい	特になし	無回答	1986	神奈川県	横浜市	600万円以上 700万円未満	景品が当たる	どちらでもない	5	
加賀エリア	小松カントリークラブ	2025/08/13	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	職場の同僚	その他スポーツ（ゴルフ、テニスなど）	飛行機	レンタカー	とても満足	空港からの案内がわかりやすかった	3,000円以上 5,000円未満	10,000円以上 20,000円未満	20,000円以上 30,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし	ゴルフしにきました	20,000円以上 30,000円未満	とても満足	環境が素晴らしい	とても満足		感じた		10	充実していた	また行きたい（1年以内）	自然環境	男	1981	東京都	江戸川区	1,200万円以上 1,500万円未満	石川県のおすすめ観光スポットが見たい	とても満足	10	見所が多く、混んでいない
加賀エリア	トレインパーク白山	2025/08/13	同意する	4泊以上	4泊以上	白山エリア （一里野温泉、白峰温泉、白山市など）	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車	どちらでもない		5,000円以上 10,000円未満	5,000円以上 10,000円未満	5,000円以上 10,000円未満	初めて	友人・知人	選択なし/該当施設なし		選択なし／該当施設なし		5,000円以上 10,000円未満	どちらでもない		どちらでもない		感じなかった		3		どちらともいえない	特になし	男	1998	栃木県	真岡市	600万円以上 700万円未満	景品が当たる	とても満足	6	
加賀エリア	ポイントバケーション加賀山中	2025/08/13	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策	自家用車	自家用車	とても満足	食べ物美味しい	30,000円以上 40,000円未満	50,000円以上 100,000円未満	50,000円以上 100,000円未満	2～5回目	TV・ラジオ番組やCM, 観光パンフレット・ポスター	ゆのくにの森		選択なし／該当施設なし		10,000円以上 20,000円未満	とても満足		とても満足		感じなかった		6		また行きたい（1年以内）	特になし	女	1974	広島県	広島市	400万円以上 500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	とても満足	7	
加賀エリア	航空プラザ	2025/08/13	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂, 地元の美味しいものを食べる, 友人・親戚を訪ねる	新幹線	自家用車			5,000円以上 10,000円未満	30,000円以上 40,000円未満	20,000円以上 30,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		1,000円以上 3,000円未満	満足		満足		感じなかった		6		機会があれば行きたい	特になし	男	1987	大阪府	吹田市	800万円以上 900万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい	満足	6	
加賀エリア	道の駅「こまつ木場潟」	2025/08/13	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	親	温泉や露天風呂, 地元の美味しいものを食べる, スポーツ観戦や芸術鑑賞（コンサート等）	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	3,000円以上 5,000円未満	2～5回目	観光展・物産展, 新聞・雑誌・ガイドブック, インターネット・アプリ, 観光協会等の案内所	選択なし/該当施設なし	21世紀美術館	選択なし／該当施設なし	ホテル	1,000円以上 3,000円未満	どちらでもない	品揃えが多くない	どちらでもない	施設が小さい	感じなかった		3	飲食店が閉まっていたので、もう少しあいてるといい	機会があれば行きたい	和菓子がおいしいので、道の駅などもっと種類があるといいなと思います	女	1984	岐阜県	岐阜市	500万円以上 600万円未満	景品が当たる	満足	3	プレバト展が面白かった
加賀エリア	法師旅館	2025/08/13	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車	満足		30,000円以上 40,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	11回目以上	インターネット・アプリ	石川県立航空プラザ	大王寺	選択なし／該当施設なし	小松牧場	1,000円以上 3,000円未満	満足	美味しかった	満足	種類豊富	感じなかった		6		また行きたい（1年以内）	温泉	男	1968	大阪府	寝屋川市	1,500万円以上	景品が当たる	満足	8	インバウンド少ない
加賀エリア	小松空港	2025/08/13	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる, 出張など仕事関係	新幹線, 飛行機	路線バス	満足	時間通りだつたので	5,000円以上 10,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	近江市場	選択なし／該当施設なし	瑞龍寺	5,000円以上 10,000円未満	どちらでもない		どちらでもない	普通	感じなかった		5	雨災害で能登に行けなかったのが残念	機会があれば行きたい	ラーメン店	男	1970	東京都	江戸川区	400万円以上 500万円未満	景品が当たる	満足	5	ラーメン店 
加賀エリア	トレインパーク白山	2025/08/14	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	温泉や露天風呂, 地元の美味しいものを食べる	県外から訪れていない（石川県内在住）	在来線	とても満足	バスの利用もすぐで良かった	20,000円以上 30,000円未満	40,000円以上 50,000円未満	3,000円以上 5,000円未満	初めて	観光展・物産展, インターネット・アプリ	選択なし/該当施設なし	白山トレインめがけて来たから	選択なし／該当施設なし	湯涌温泉へ行く	3,000円以上 5,000円未満	とても満足	スタッフが好印象	とても満足	施設が綺麗だ	感じた	食事する所があれば	9	男の子の孫が喜ぶ物がたくさんありました	石川県在住	海鮮が最高	女	1948	石川県	かほく市	200万円以上 300万円未満	なんとなく	満足	9	食べ物が美味しい
加賀エリア	加賀市観光情報センター　KAGA旅・まちネット	2025/08/14	同意する	4泊以上	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	飛行機	路線バス	どちらでもない		100,000円以上	20,000円以上 30,000円未満	5,000円以上 10,000円未満	2～5回目	新聞・雑誌・ガイドブック, TV・ラジオ番組やCM, インターネット・アプリ	選択なし/該当施設なし	片山津温泉	選択なし／該当施設なし	金沢21世紀美術館	1,000円以上 3,000円未満	どちらでもない		どちらでもない		感じなかった		5		機会があれば行きたい	特になし	男	1968	青森県	青森市	1,000万円以上 1,200万円未満	景品が当たる	満足	8	
加賀エリア	トレインパーク白山	2025/08/14	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	富山県	親	ドライブ・ツーリング	自家用車	自家用車			使わない	1,000円以上 3,000円未満	3,000円以上 5,000円未満	初めて	TV・ラジオ番組やCM	石川県立航空プラザ		石川県立航空プラザ		3,000円以上 5,000円未満	満足		満足		感じなかった		5		機会があれば行きたい	自然	男	1990	富山県	氷見市	700万円以上 800万円未満	景品が当たる	満足	6	
加賀エリア	トレインパーク白山	2025/08/14	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車	とても満足	なし	使わない	5,000円以上 10,000円未満	3,000円以上 5,000円未満	初めて	Instagram	選択なし/該当施設なし		選択なし／該当施設なし	白山イオン	1,000円以上 3,000円未満	満足	特になし	満足	特になし	感じた	駐車場が遠い	8		機会があれば行きたい	こどもと一緒に楽しめるもの	女	1993	愛知県	名古屋市	800万円以上 900万円未満	景品が当たる, なんとなく	どちらでもない	6	
加賀エリア	加賀伝統工芸村　ゆのくにの森	2025/08/14	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	友人	買い物、アウトレット	自家用車	自家用車			10,000円以上 20,000円未満	使わない	使わない	2～5回目	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		使わない	満足		満足		感じなかった		3		また行きたい（1年以内）	特になし	女	1988	富山県	高岡市	400万円以上 500万円未満	景品が当たる	満足	3	
加賀エリア	航空プラザ	2025/08/14	同意する	3泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	岐阜県	中学生以上連れの家族	温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車			20,000円以上 30,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	石川県立航空プラザ		選択なし／該当施設なし		1,000円以上 3,000円未満	満足		満足		感じなかった		5		機会があれば行きたい	特になし	無回答	1980	滋賀県	守山市	300万円以上 400万円未満	なんとなく	満足	5	
加賀エリア	道の駅「こまつ木場潟」	2025/08/14	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	福井県	中学生以上連れの家族	お祭りやイベントへの参加・見物, ドライブ・ツーリング	自家用車	自家用車	満足		使わない	3,000円以上 5,000円未満	使わない	2～5回目	インターネット・アプリ, Instagram	那谷寺		選択なし／該当施設なし		1,000円以上 3,000円未満	満足		満足		感じなかった		5		また行きたい（1年以内）	特になし	女	1975	福井県	坂井市	600万円以上 700万円未満	景品が当たる	どちらでもない	5	
加賀エリア	法師旅館	2025/08/14	同意する	1泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	岐阜県	恋人	宿でのんびり過ごす, 温泉や露天風呂	自家用車	自家用車			50,000円以上 100,000円未満	20,000円以上 30,000円未満	3,000円以上 5,000円未満	初めて	インターネット・アプリ	月うさぎの里		日本自動車博物館		5,000円以上 10,000円未満	満足		満足		感じた	地図が見づらかった	8		機会があれば行きたい	金沢ラーメン	女	1973	富山県	砺波市	100万円以上 200万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい	満足	9	
加賀エリア	法師旅館	2025/08/14	同意する	3泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	車中泊	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	自家用車	自家用車, 在来線			10,000円以上 20,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	2～5回目	新聞・雑誌・ガイドブック, インターネット・アプリ, Instagram	選択なし/該当施設なし	兼六園	選択なし／該当施設なし	福井県三国町サンセットビーチ	20,000円以上 30,000円未満	満足	お酒で地ビールがあれば。お土産売場がもう少し品数と試食があれば。	とても満足	庭園が美しく、忙しい中きれいに掃除されている	感じた	部屋と食事処が同じ階だからそのまま行けると勘違いしていた。わかりにくい	9	加賀野菜の金時草が美味しかった。地元のものを使っていてここでしか食べられない、ってより強く思わせてほしい。今は何でも石川にこなくても食べられる時代になりましたが鮮度よく食べられるのはここだけ、て思わせることで法師に来てよかった、と思わずてくれるから。	また行きたい（1年以内）	和菓子が多いのでお土産に困ることがある	無回答	1976	大阪府	大阪市	1,200万円以上 1,500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	6	法師のお料理
加賀エリア	法師旅館	2025/08/14	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂	県外から訪れていない（石川県内在住）	自家用車			100,000円以上	使わない	1,000円未満	6～10回目	インターネット・アプリ, Instagram, 友人・知人	選択なし/該当施設なし		選択なし／該当施設なし		使わない	どちらでもない		どちらでもない		感じなかった		0		石川県在住	特になし	女	1972	石川県	金沢市	300万円以上 400万円未満	景品が当たる	満足	7	
